Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
15;Fri;16.12.16;20:30;Hoffenheim;2–2;Dortmund;30,150;PreZero Arena;Benjamin Brand;Match Report;
15;Sat;17.12.16;15:30;Werder Bremen;1–1;Köln;42,100;Weserstadion;Wolfgang Stark;Match Report;
15;Sat;17.12.16;15:30;Schalke 04;1–1;Freiburg;60,445;Veltins-Arena;Manuel Gräfe;Match Report;
15;Sat;17.12.16;15:30;RB Leipzig;2–0;Hertha BSC;42,558;Red Bull Arena;Marco Fritz;Match Report;
15;Sat;17.12.16;15:30;Augsburg;1–0;M'Gladbach;28,653;WWK Arena;Tobias Stieler;Match Report;
15;Sat;17.12.16;15:30;Mainz 05;3–1;Hamburger SV;30,179;Opel Arena;Deniz Aytekin;Match Report;
15;Sat;17.12.16;18:30;Wolfsburg;1–0;Eint Frankfurt;26,967;Volkswagen Arena;Felix Brych;Match Report;
15;Sun;18.12.16;15:30;Darmstadt 98;0–1;Bayern Munich;17,400;Jonathan-Heimes-Stadion am Böllenfalltor;Bastian Dankert;Match Report;
15;Sun;18.12.16;17:30;Leverkusen;1–2;Ingolstadt 04;25,075;BayArena;Frank Willenborg;Match Report;
;;;;;;;;;;;
16;Tue;20.12.16;20:00;Dortmund;1–1;Augsburg;81,360;Signal Iduna Park;Guido Winkmann;Match Report;
16;Tue;20.12.16;20:00;Hamburger SV;2–1;Schalke 04;49,789;Volksparkstadion;Jochen Drees;Match Report;
16;Tue;20.12.16;20:00;M'Gladbach;1–2;Wolfsburg;47,067;Stadion im Borussia-Park;Robert Kampka;Match Report;
16;Tue;20.12.16;20:00;Eint Frankfurt;3–0;Mainz 05;48,500;Commerzbank-Arena;Günter Perl;Match Report;
16;Wed;21.12.16;20:00;Hertha BSC;2–0;Darmstadt 98;31,912;Olympiastadion Berlin;Robert Hartmann;Match Report;
16;Wed;21.12.16;20:00;Hoffenheim;1–1;Werder Bremen;29,076;PreZero Arena;Benjamin Cortus;Match Report;
16;Wed;21.12.16;20:00;Köln;1–1;Leverkusen;50,000;RheinEnergieSTADION;Manuel Gräfe;Match Report;
16;Wed;21.12.16;20:00;Ingolstadt 04;1–2;Freiburg;13,904;Audi-Sportpark;Sascha Stegemann;Match Report;
16;Wed;21.12.16;20:00;Bayern Munich;3–0;RB Leipzig;75,000;Allianz Arena;Felix Zwayer;Match Report;
;;;;;;;;;;;
17;Fri;20.01.17;20:30;Freiburg;1–2;Bayern Munich;24,000;Schwarzwald-Stadion;Manuel Gräfe;Match Report;
17;Sat;21.01.17;15:30;Wolfsburg;1–0;Hamburger SV;30,000;Volkswagen Arena;Felix Zwayer;Match Report;
17;Sat;21.01.17;15:30;Werder Bremen;1–2;Dortmund;42,100;Weserstadion;Daniel Siebert;Match Report;
17;Sat;21.01.17;15:30;Darmstadt 98;0–0;M'Gladbach;17,400;Jonathan-Heimes-Stadion am Böllenfalltor;Marco Fritz;Match Report;
17;Sat;21.01.17;15:30;Augsburg;0–2;Hoffenheim;24,515;WWK Arena;Markus Schmidt;Match Report;
17;Sat;21.01.17;15:30;Schalke 04;1–0;Ingolstadt 04;58,004;Veltins-Arena;Harm Osmers;Match Report;
17;Sat;21.01.17;18:30;RB Leipzig;3–0;Eint Frankfurt;42,558;Red Bull Arena;Deniz Aytekin;Match Report;
17;Sun;22.01.17;15:30;Leverkusen;3–1;Hertha BSC;26,904;BayArena;Tobias Stieler;Match Report;
17;Sun;22.01.17;17:30;Mainz 05;0–0;Köln;29,314;Opel Arena;Felix Brych;Match Report;
;;;;;;;;;;;
18;Fri;27.01.17;20:30;Schalke 04;0–1;Eint Frankfurt;60,885;Veltins-Arena;Robert Hartmann;Match Report;
18;Sat;28.01.17;15:30;Wolfsburg;1–2;Augsburg;24,811;Volkswagen Arena;Bastian Dankert;Match Report;
18;Sat;28.01.17;15:30;Werder Bremen;1–2;Bayern Munich;42,100;Weserstadion;Sascha Stegemann;Match Report;
18;Sat;28.01.17;15:30;RB Leipzig;2–1;Hoffenheim;39,633;Red Bull Arena;Wolfgang Stark;Match Report;
18;Sat;28.01.17;15:30;Ingolstadt 04;3–1;Hamburger SV;14,549;Audi-Sportpark;Markus Schmidt;Match Report;
18;Sat;28.01.17;15:30;Darmstadt 98;1–6;Köln;17,400;Jonathan-Heimes-Stadion am Böllenfalltor;Robert Kampka;Match Report;
18;Sat;28.01.17;18:30;Leverkusen;2–3;M'Gladbach;28,869;BayArena;Deniz Aytekin;Match Report;
18;Sun;29.01.17;15:30;Freiburg;2–1;Hertha BSC;23,800;Schwarzwald-Stadion;Günter Perl;Match Report;
18;Sun;29.01.17;17:30;Mainz 05;1–1;Dortmund;34,000;Opel Arena;Felix Zwayer;Match Report;
;;;;;;;;;;;
19;Fri;03.02.17;20:30;Hamburger SV;1–0;Leverkusen;45,653;Volksparkstadion;Jochen Drees;Match Report;
19;Sat;04.02.17;15:30;Bayern Munich;1–1;Schalke 04;75,000;Allianz Arena;Marco Fritz;Match Report;
19;Sat;04.02.17;15:30;Köln;1–0;Wolfsburg;49,400;RheinEnergieSTADION;Patrick Ittrich;Match Report;
19;Sat;04.02.17;15:30;M'Gladbach;3–0;Freiburg;47,194;Stadion im Borussia-Park;Felix Brych;Match Report;
19;Sat;04.02.17;15:30;Hoffenheim;4–0;Mainz 05;26,078;PreZero Arena;Guido Winkmann;Match Report;
19;Sat;04.02.17;15:30;Hertha BSC;1–0;Ingolstadt 04;33,425;Olympiastadion Berlin;Frank Willenborg;Match Report;
19;Sat;04.02.17;18:30;Dortmund;1–0;RB Leipzig;81,360;Signal Iduna Park;Tobias Stieler;Match Report;
19;Sun;05.02.17;15:30;Augsburg;3–2;Werder Bremen;26,812;WWK Arena;Christian Dingert;Match Report;
19;Sun;05.02.17;17:30;Eint Frankfurt;2–0;Darmstadt 98;51,000;Commerzbank-Arena;Manuel Gräfe;Match Report;
;;;;;;;;;;;
